policy_number,inception_date,written_premium,sum_insured,claim_incurred
home14978,2017-06-01,453.02520280565346,172147.20837369375,0.0
home18544,2018-05-14,631.6104332701855,239661.0592478431,0.0
home18102,2017-10-15,568.6141369324041,220040.42233883607,0.0
home17197,2018-08-26,529.3950492985879,196609.50378012587,0.0
home14069,2018-09-06,452.83436605688945,166217.5111298471,0.0
home19350,2018-02-23,820.3141264259893,307875.74273588136,0.0
home201956,2018-12-25,551.2553722367093,209464.5971736411,0.0
home10420,2017-10-11,405.53813496576026,152301.67929374837,0.0
home15900,2018-12-28,484.6431800457049,179706.4637833172,0.0
home18006,2018-08-23,578.4685838540078,216676.86138354824,0.0
home12460,2017-02-09,422.1367910419035,158918.03286000725,0.0
home13538,2017-01-25,433.15735685891065,163534.60480427617,0.0
home16576,2017-06-29,489.84081507864084,187313.52179002945,0.0
home19469,2017-02-24,853.874358254923,332732.5086351667,0.0
home19716,2017-07-19,1039.3856670075247,417371.70206121175,0.0
home10123,2018-08-03,415.09355009051666,151186.99498045462,0.0
home200732,2018-03-14,425.827554645214,161114.1870690952,0.0
home15024,2018-03-21,467.3900737488091,172520.72794543108,0.0
home15599,2018-09-11,478.71758747043214,176907.2830918185,0.0
home16533,2017-12-09,488.1157648215693,186700.608991934,0.0
home16744,2018-11-17,510.4502948913985,189506.8245563458,0.0
home200673,2018-09-13,423.8193346973646,160090.9249394217,0.0
home16094,2017-10-26,475.1696163605507,181495.06569692766,0.0
home16156,2017-07-19,476.9920094474744,182247.06329610833,0.0
home13057,2018-10-30,440.66663171149133,161320.90716589463,0.0
home13644,2018-03-02,447.26720048212815,164067.8423620231,0.0
home10859,2018-07-01,421.4118682656065,153733.51588730703,0.0
home16179,2018-04-13,492.12288754506136,182402.6745969334,0.0
home16292,2018-10-04,495.1521320212477,183832.17057562032,553.5847433711939
home14422,2018-10-30,457.4561421220445,168312.14716041283,0.0
home12316,2017-04-01,420.85451121892123,158418.10450830235,0.0
home13499,2018-12-09,445.69196604175295,163288.88061560434,0.0
home12240,2018-01-13,432.65455745138433,158103.0584613636,0.0
home200688,2018-01-26,424.368888822406,160321.3721419474,0.0
home10495,2017-12-23,406.272735334007,152548.98013146,0.0
home15187,2018-09-07,470.4291700932935,173630.83021054315,0.0
home14433,2017-11-18,444.29993709825493,168412.7344795944,0.0
home18833,2018-06-21,675.556235922829,256304.14986509221,0.0
home11021,2018-08-08,422.5177327040563,154257.4333936266,0.0
home19395,2018-09-24,840.5532380912041,315961.2316698339,0.0
home16650,2017-10-11,492.03004168480027,188135.33432346815,0.0
home12843,2017-05-24,425.55217056356975,160435.9527313352,0.0
home16863,2017-05-15,499.7557676407282,191146.54957668847,0.0
home15040,2017-06-27,454.1488030790665,172659.48696375437,0.0
home17089,2017-08-18,508.80315134343965,194847.46579262422,0.0
home10721,2018-03-20,420.23228422459835,153291.67457130944,0.0
home17743,2018-05-21,558.470681307018,208834.54475959466,0.0
home16612,2017-01-07,491.0864115367824,187742.6988354117,0.0
home14005,2018-03-01,451.84623010622147,165815.3780040019,0.0
home201456,2018-05-03,466.95443167393455,178771.00831193937,0.0
home19408,2018-02-11,848.6114212421812,317871.7680948934,0.0
home10630,2017-11-21,407.28922640044954,152986.42899742158,0.0
home18780,2018-07-31,667.1685977817461,252984.03382271162,0.0
home18456,2017-10-16,603.1576245163992,234709.44869097252,0.0
home11187,2018-06-12,423.8768861219054,154735.11310022132,0.0
home16143,2017-07-10,476.6505067617838,182020.25344388414,0.0
home15907,2017-01-06,470.6334296766371,179807.10155294536,0.0
home12695,2018-10-07,437.0144610446909,159861.5934343838,0.0
home10836,2017-12-10,408.97679073603905,153637.37033301344,0.0
home200959,2018-11-21,435.38134252661854,165103.91603404493,0.0
home201844,2018-05-26,524.1654724705847,200401.03879632082,0.0
home19629,2018-08-23,983.5790659360895,378743.44954800594,0.0
home12034,2017-03-14,418.3697688430812,157408.5500800061,0.0
home13167,2017-05-10,428.88358564175996,161744.73043796304,0.0
home202464,2018-08-08,1331.7664371329147,563899.0675854897,0.0
home19949,2018-10-02,2031.3419421183967,773390.3448742144,0.0
home16030,2018-03-10,487.7280008669502,180973.26646794588,0.0
home13775,2018-08-21,448.7780884609826,164745.53436774277,669.4831613381956
home18665,2018-11-23,648.3332590220432,246585.8235628389,0.0
home11300,2018-10-01,424.8426926015081,155111.82547733514,0.0
home12515,2017-10-09,422.65234035058603,159140.53745530656,0.0
home19564,2017-09-16,908.0337655135613,357175.013604586,0.0
home10431,2018-07-27,417.78421349992163,152328.28907450233,0.0
home19816,2017-05-11,1250.6975877578684,495525.8087423876,0.0
home17148,2017-04-20,511.43032174166996,195825.06207461163,0.0
home14102,2017-05-07,440.05154480764816,166371.33076248277,0.0
home17564,2017-09-05,531.7459647514042,204428.8685880443,0.0
home12807,2017-04-24,425.29093560843404,160306.65932722276,0.0
home201768,2018-03-02,506.7527396527155,194920.48725376272,0.0
home16261,2017-03-11,479.7870536840184,183333.4936051809,0.0
home11707,2018-10-27,428.2000152930972,156399.90214800648,0.0
home15170,2018-11-26,470.1335441287889,173521.78848642932,0.0
home12916,2017-09-28,426.259475739982,160757.10329668416,0.0
home10985,2017-10-02,409.98348735012496,154173.19159558797,0.0
home13751,2018-03-26,448.4422987816657,164634.8517335503,943.4256307981232
home13788,2017-07-19,435.83165311417895,164806.47486749978,0.0
home13980,2017-03-02,438.23214255969356,165706.13768411108,0.0
home17163,2018-10-06,527.3443044744037,196028.85164429204,0.0
home13465,2018-04-29,445.20888474393735,163151.1454183638,0.0
home15285,2018-01-29,471.93902884391144,174325.03700064096,0.0
home10644,2017-10-12,407.39867185970945,153032.4337567561,6268.395877048284
home10632,2018-07-05,419.53456020723064,152987.92078358866,0.0
home12745,2018-04-29,437.474744034399,160047.19744942908,0.0
home16447,2017-08-25,485.3007815977835,185693.6276606222,0.0
home15726,2017-12-30,467.2489837554104,178096.3765475623,0.0
home11439,2017-08-15,413.54068431831604,155504.28012308315,0.0
home17876,2018-11-26,567.5559276898719,212564.75336259813,0.0
home19278,2017-04-25,765.3650509916358,297955.3039723224,0.0
home11774,2018-11-14,428.689804918985,156628.4781395411,0.0
home18204,2017-01-20,577.990521536069,222961.32095769414,0.0
home17061,2017-07-21,507.68614913802264,194363.3275203526,0.0
home18589,2017-09-26,618.6352332814112,242869.72528931612,0.0
home16307,2018-01-25,495.7787768844159,184018.8696245154,0.0
home12103,2017-11-18,418.8705475891572,157660.6852253727,0.0
home11172,2017-05-25,411.38156331371266,154678.49621329425,0.0
home10830,2017-02-01,408.938201818681,153612.579590219,0.0
home16251,2018-10-20,493.84668252976445,183220.42860551688,0.0
home12330,2017-07-30,421.0001320145623,158462.72148513174,0.0
home18533,2017-12-05,611.8026348114377,238849.68194719663,0.0
home16082,2018-09-20,489.12284282695515,181417.63985869742,0.0
home14607,2017-10-18,446.8711446769067,169398.41447888306,0.0
home15651,2017-04-12,465.7313407196324,177371.84076308995,508.26054158158837
home13577,2018-06-03,446.55574371785974,163708.66887789624,0.0
home16282,2017-03-06,480.5253751685583,183651.7897554678,0.0
home17970,2017-06-24,558.6687938624582,215423.7920873029,0.0
home13320,2018-07-24,443.6387651598341,162466.840881862,0.0
home17283,2017-08-04,517.9924442283011,198099.0585943249,0.0
home201304,2018-03-29,454.6384998184393,173573.22135104908,0.0
home10359,2017-06-06,405.1018376141445,152091.96754557718,0.0
home17255,2017-12-09,516.6102485902782,197577.59640446166,0.0
home15009,2017-09-15,453.5910768857593,172412.38144047838,0.0
home12901,2017-10-11,426.1036321932935,160711.74715345426,0.0
home11424,2017-04-09,413.4336000835165,155460.2302187214,0.0
home19499,2018-11-25,897.0488458748536,337402.4951224162,0.0
home10669,2017-02-18,407.5810775876401,153113.47992208434,523.2454923186527
home17155,2018-01-27,527.0420898639021,195949.78132602485,0.0
home14092,2018-09-25,453.04383862544967,166344.5549692752,0.0
home11210,2017-11-13,411.69169391852824,154820.29496477396,0.0
home17344,2017-07-12,520.5547552635178,199097.52361240817,0.0
home200714,2018-02-14,425.2168261564983,160895.7582942581,0.0
home13142,2017-09-03,428.6509349895058,161652.2849568669,0.0
home18734,2018-03-15,658.8510118622602,250772.94064807688,0.0
home201129,2018-06-27,443.3162841293948,169058.51289081218,0.0
home13513,2017-09-03,432.8819248544109,163353.61245473995,500.06191807992457
home12997,2018-11-07,439.9455022605816,161090.04257092276,0.0
home10232,2017-12-07,404.12326345251626,151664.56399434502,0.0
home10387,2017-11-25,405.34195964695846,152210.8589069109,0.0
home13549,2018-10-14,446.28698393869934,163568.802029166,0.0
home12890,2018-02-26,438.79019753876764,160644.4586314861,0.0
home10152,2018-07-22,415.44122248966204,151340.024853827,0.0
home17079,2017-04-26,508.348594820908,194603.75256163094,0.0
home19157,2017-11-19,729.3244400822358,283895.71424076695,0.0
home200693,2018-11-09,424.5526553175193,160490.05448948324,0.0
home17677,2018-03-12,553.7489045983582,206867.90780867697,0.0
home17708,2018-09-12,556.093970110041,207821.7212904914,0.0
home17472,2018-10-14,542.4463158080531,202254.29152206774,0.0
home17154,2017-07-04,511.6659069809181,195910.09628300057,0.0
home12053,2018-04-03,431.015471651891,157501.45423709584,0.0
home11795,2017-12-01,416.4142449537975,156668.98041925198,0.0
home16298,2017-02-12,480.83132254602907,183891.2719215119,0.0
home10891,2017-11-20,409.327275421778,153867.41638079908,519.2511225961169
home200888,2018-02-20,431.9317308793017,163873.34929940462,0.0
home16915,2018-04-01,517.1280212059911,192067.0547776887,0.0
home16862,2017-09-01,499.74407047497414,191134.09408054862,0.0
home15309,2017-01-23,458.7632042082126,174556.16996659295,0.0
home15962,2017-08-22,471.63846789298964,180258.18507475886,0.0
home16412,2017-07-17,484.25105362727527,185323.6225487635,0.0
home202087,2018-07-05,609.6268994335328,225963.33449562636,0.0
home201673,2018-02-08,493.5188759515837,189096.36030898747,0.0
home17666,2017-08-07,537.1035691802305,206582.71883352695,0.0
home14934,2018-11-08,465.89101040816223,171767.04739808204,2821.8466254378823
home16912,2017-11-26,501.9389047737041,192003.47227251765,0.0
home11270,2017-02-25,412.26742859938105,155014.0218750528,0.0
home17879,2017-12-07,551.2805441130598,212705.45783331414,0.0
home18156,2017-07-09,572.8654745120886,221603.88515106973,0.0
home16299,2017-08-21,480.8890805502311,183899.54121661483,0.0
home15193,2017-02-20,456.8107015143376,173652.14432792392,0.0
home14550,2017-12-20,445.97856863508724,169048.97008362773,0.0
home18501,2018-02-08,627.2591853603004,236982.91995732603,0.0
home200314,2018-04-08,411.4859487384616,155107.3387879502,0.0
home17209,2018-10-09,529.7967477374216,196873.82664823462,0.0
home19987,2018-02-04,3127.936965237327,1448220.8626315228,0.0
home17921,2018-10-21,570.9538193204946,213971.59709065946,0.0
home15942,2017-12-23,471.1575027970772,180085.66526457426,0.0
home13675,2018-04-22,447.5748785210114,164223.96553946275,0.0
home19328,2018-04-06,810.2168140626293,304355.7609920043,0.0
home13789,2018-11-23,448.9787376950019,164815.12377461718,548.3624890503883
home17028,2017-06-11,506.169375345779,193851.8416270559,0.0
home11804,2018-01-02,428.9816485872956,156691.84324673805,0.0
home202402,2018-10-06,955.5846932328654,370188.85254334274,0.0
home17875,2018-11-26,567.4645232008796,212559.56401836808,789.7904602823749
home13592,2017-01-10,433.7309256133694,163774.63466466597,0.0
home10520,2018-09-25,418.63188355151254,152640.0691730271,0.0
home13516,2018-11-28,445.9419171852173,163370.75647672007,0.0
home19712,2018-04-27,1067.9052111680735,416293.06906099094,0.0
home16068,2018-09-14,488.8081901754993,181290.69160032793,0.0
home16432,2018-07-30,499.3998318873358,185565.02840738092,0.0
home12165,2018-12-05,432.05964170209484,157846.91152891153,0.0
home16229,2018-09-12,493.07692334873065,183007.61766456056,0.0
home10046,2017-05-23,401.6918998083568,150818.65708566722,0.0
home200473,2018-02-10,416.4683532270275,157180.7196044643,0.0
home12024,2017-01-13,418.3024656073407,157373.51878270303,0.0
home17479,2017-03-22,526.7760866696829,202369.26933571248,0.0
home15716,2018-09-12,481.0984569558235,178012.7620186777,0.0
home201151,2018-06-25,444.81546571556663,169526.51379668352,0.0
home17062,2018-12-05,522.9343814227958,194364.42666159396,0.0
home19559,2018-08-19,931.5012786069851,353975.48864768323,0.0
home16043,2018-11-29,488.01009046696805,181082.84290243153,3423.3066645310555
home13496,2018-10-16,445.62751359646165,163280.7362035741,0.0
home201580,2018-07-03,481.32248719932,183710.69452117046,0.0
home201820,2018-03-16,518.1545612788342,198828.9481741878,0.0
home16289,2018-05-21,495.08535478667676,183744.86865309882,0.0
home16416,2018-10-17,498.9081527833529,185343.5043816483,0.0
home14600,2017-10-17,446.75094728493497,169325.07846165122,0.0
home14487,2017-12-11,444.85187147890866,168749.33038054843,0.0
home10869,2018-03-25,421.455077810208,153767.58436480476,0.0
home18744,2017-09-22,642.3304570276889,251408.9386708436,0.0
home200951,2018-12-30,435.0938702122882,165001.65399476446,0.0
home14518,2018-04-20,458.83202388510256,168910.27753037255,0.0
home18567,2018-07-14,634.7919538631207,241091.1596815208,0.0
home12762,2018-10-15,437.5843605452502,160115.0266950797,0.0
home10869,2017-03-25,409.1796871943767,153767.58436480476,0.0
home11121,2018-11-29,423.2753144888275,154544.65147658688,0.0
home10001,2017-04-14,400.47364435833805,150200.53639999218,0.0
home18950,2018-06-01,699.515993359748,264377.61819258594,0.0
home15859,2018-01-20,483.7341432701466,179328.6125316181,0.0
home12089,2018-10-15,431.3131851317442,157615.33916739258,0.0
home11614,2017-08-02,414.9346435582267,156087.76870677626,0.0
home15719,2018-07-14,481.1286320329705,178039.34211878103,1406.5729228143518
home17362,2017-05-13,521.1318137122283,199630.5467989109,0.0
home18933,2018-07-20,695.3726318448257,263419.74623993435,0.0
home17081,2017-01-05,508.45513271284096,194626.64576939255,0.0
home16578,2018-12-18,504.5693011314446,187318.97104679857,0.0
home18313,2017-11-30,588.6242208926717,227318.56152971968,0.0
home11596,2018-02-23,427.2738028930955,156038.42378700024,0.0
home18402,2018-02-13,615.2479508111325,231960.1537272965,0.0
home19091,2017-11-20,713.4848305471423,277357.7534989112,0.0
home10017,2017-03-10,401.0177758953954,150485.13389022485,0.0
home17946,2017-01-16,556.9194503251402,214691.92210446595,0.0
home11192,2018-02-10,423.92175103412586,154742.1724753994,0.0
home200556,2018-11-08,419.2626748700608,158461.11201401788,0.0
home200890,2018-07-16,432.1047712805733,163889.01459903995,0.0
home10941,2017-06-15,409.68445461708137,154036.58508306797,0.0
home202113,2018-07-16,621.8297489807312,231318.29721735272,0.0
home14315,2017-08-25,442.6241695539893,167568.77907624308,0.0
home13040,2018-05-22,440.40325146754543,161266.7366259745,0.0
home15601,2017-07-08,464.7936466226154,176959.33157477085,0.0
home18616,2018-04-07,640.9299435516757,244049.40286616323,0.0
home200679,2018-10-15,424.1213184734672,160148.95497316096,0.0
home18947,2017-05-20,678.5654607552015,264172.1523517629,0.0
home16713,2017-06-03,494.66339282213494,189092.95904138946,0.0
home12506,2018-09-30,435.2780641409763,159118.4867959116,0.0
home18338,2017-03-10,590.5080156798552,228464.63683681877,0.0
home16850,2018-06-06,514.518848122563,191023.1138242385,0.0
home18078,2018-12-04,583.1993811023508,219232.2200738907,0.0
home202172,2018-08-24,645.7775135003196,242687.14928204258,0.0
home18740,2017-03-15,641.5137513283216,251161.34907002194,0.0
home19441,2017-10-05,838.5050439319064,325374.7137295249,0.0
home13498,2017-01-01,432.6628337107293,163284.93291233527,0.0
home19476,2017-12-05,859.588420944202,333852.8953205263,0.0
home11860,2018-04-16,429.42415653861696,156905.87234343818,0.0
home10207,2018-09-12,415.98746492004614,151562.93003280458,0.0
home11455,2017-07-10,413.70427220013613,155549.0014852057,0.0
home13780,2018-07-24,448.84627616303993,164773.8433237164,0.0
home13944,2018-09-08,451.0152288876106,165521.06042261247,0.0
home16234,2017-07-14,478.8091827791778,183041.9100391547,0.0
home10488,2018-07-16,418.3946883018374,152537.41374995842,0.0
home10736,2017-09-08,408.1390831681395,153332.35623853304,0.0
home15617,2017-08-24,465.0994838306319,177138.92336377432,0.0
home202356,2018-07-08,847.1840181821796,320812.601610439,0.0
home11342,2017-07-15,412.80265970932675,155240.3819619647,0.0
home14943,2018-12-17,465.9992492241286,171858.20007459223,0.0
home200799,2018-10-27,428.51759922408615,162236.4772828573,0.0
home14002,2018-07-15,451.82160943368325,165800.5377078529,0.0
home11236,2017-03-14,411.96381694257195,154903.6863093927,503.49386138592916
home13717,2017-05-03,434.993503710008,164408.75729669767,0.0
home17896,2018-02-28,569.135139846618,213244.207819544,0.0
home15330,2018-02-24,472.9691940665986,174740.8729339796,4168.661788764741
home201507,2018-05-06,472.45374074054376,180621.28565084314,2158.6908995339068
home18461,2018-03-25,622.0309236210286,235061.09539452777,0.0
home19571,2018-11-22,941.9336911723963,358782.36246231,0.0
home17459,2017-12-31,525.6400437634472,201799.17317051816,0.0
home11763,2017-01-31,416.1385844248008,156586.9402855474,0.0
home14328,2018-10-06,456.03229933296717,167615.6047705587,0.0
home201324,2018-06-25,455.94531190703685,174195.5780072503,0.0
home201847,2018-10-08,524.2712192619487,200526.9636116121,0.0
home18866,2017-03-29,663.2248222657975,258949.96358308525,0.0
home12567,2018-10-30,435.8143372327399,159357.9948304154,0.0
home17915,2017-11-18,554.076812308645,213734.00026787107,0.0
home12604,2017-03-18,423.51904482491113,159517.3305217845,0.0
home19894,2017-11-18,1504.4727882343009,611782.7518825766,0.0
home11972,2018-12-24,430.4703638688841,157210.15926883422,0.0
home10199,2018-09-10,415.9246591896651,151538.9861606735,0.0
home15370,2018-03-29,473.75479790569585,175054.46007327156,0.0
home17853,2018-09-22,566.3490386875372,211990.88646604907,0.0
home201157,2018-02-21,445.0704356995711,169764.45681457376,0.0
home17820,2018-09-06,563.7676357863497,210996.65354429686,0.0
home17783,2018-04-24,561.0997674982231,209908.9948528469,0.0
home19332,2017-05-08,791.6738399617307,305107.5324944328,504.57153827452953
home10759,2018-06-22,420.5388488622657,153407.44321845713,0.0
home200876,2018-08-17,431.4924587516956,163712.01171154302,0.0
home15246,2017-07-23,457.68177464262556,173991.83982522716,0.0
home14242,2017-06-22,441.84445306800825,167228.21758926028,0.0
home15575,2017-05-10,464.3390400834863,176638.89710034998,0.0
home16478,2018-04-12,500.85406877415613,186123.04686038214,508.5788547836499
home11455,2018-07-10,426.11540036614025,155549.0014852057,0.0
home200397,2018-08-31,414.1415301992628,156136.5516509456,0.0
home12102,2017-05-04,418.867082666535,157660.49754993408,0.0
home12110,2017-06-05,418.9344587527675,157689.98610094603,0.0
home14418,2017-10-24,444.1105022684293,168289.49970296735,0.0
home16797,2017-01-29,497.3885592355832,190345.47507325283,1147.023331138711
home10727,2018-10-07,420.2692020524267,153304.67121612353,0.0
home19940,2017-03-03,1843.685306178563,745804.553490182,0.0
home16470,2018-12-06,500.54801860985094,186038.5999727858,0.0
home15884,2017-08-20,470.12651673769983,179586.51600811945,0.0
home15728,2017-06-06,467.2585127629626,178115.36623383113,0.0
home11443,2018-05-14,425.97815767209033,155517.98740579365,0.0
home17989,2018-04-17,577.2199731794029,216280.98783000867,0.0
home201444,2018-12-13,465.80294415625104,178412.73950629812,0.0
home16994,2017-12-18,505.14536642747703,193431.98828240944,0.0
home13565,2017-06-17,433.3942251167439,163664.9378875796,0.0
home14059,2018-12-12,452.7346870970639,166153.08183598783,732.8926084725495
home14428,2017-03-24,444.2064833876728,168374.2539263591,0.0
home18515,2018-08-13,628.6765738214997,237813.83470642538,0.0
home15633,2017-04-27,465.4073428658211,177248.46488234075,0.0
home14600,2018-10-17,460.153475703483,169325.07846165122,0.0
home18007,2018-03-02,578.5152134177278,216681.7516304832,788.4224426445758
home17310,2018-12-09,534.5801087324761,198588.64228295078,0.0
home12451,2017-07-29,422.0582237748266,158871.89101569125,0.0
home200247,2018-01-07,409.4168367502839,154237.21101003938,0.0
home18775,2018-12-29,666.5282188956547,252873.19621171273,0.0
home14568,2017-11-18,446.3251829417268,169150.34185007756,0.0
home18272,2018-11-21,602.1794322543469,226052.46355687294,0.0
home15270,2017-12-23,457.9310998124091,174159.947615441,0.0
home18413,2018-01-29,616.309215280257,232379.77684183695,0.0
home10993,2018-12-07,422.33386460569227,154181.44012537092,502.89415997613446
home14016,2018-11-04,452.0262708970941,165900.005138037,0.0
home18176,2018-05-03,592.0524502565235,222181.29507566275,0.0
home10631,2017-04-22,407.3109120951509,152986.44015968908,0.0
home18948,2018-09-11,699.3157054584119,264174.3645088932,0.0
home13884,2018-07-21,450.38780128763767,165234.74843465828,0.0
home10558,2018-05-14,419.00079143649526,152771.76504796615,0.0
home200248,2018-07-02,409.46587354681077,154257.5059954058,500.3334660614567
home15346,2017-04-14,459.4663599754845,174809.9336097915,0.0
home13835,2018-09-19,449.594967257234,165013.52156859596,1058.744189796073
home19076,2017-08-23,710.5519692019363,275281.3354741421,0.0
home19745,2017-02-04,1091.8057366568844,437191.2248470054,0.0
home11631,2017-05-31,415.1181839066579,156135.3359753659,0.0
home19453,2018-10-04,867.9676542610555,328293.7046905402,0.0
home13354,2017-12-05,431.04185817922075,162615.30978126387,0.0
home16794,2018-09-09,512.1114604626177,190323.54882262758,0.0
home15887,2017-01-06,470.21568255348114,179610.28705285402,0.0
home19212,2017-12-15,744.3351873736972,290376.60425184993,0.0
home200607,2018-01-13,421.148796954426,159258.23700214858,0.0
home16267,2018-05-04,494.3579150116186,183431.92880699143,0.0
home14006,2018-02-24,451.8517624512306,165815.5717789247,0.0
home18269,2018-04-08,601.8892195490544,225860.3615922875,0.0
home12302,2018-09-18,433.3399260175043,158357.7519034318,0.0
home17482,2017-12-02,527.0829484624414,202452.16146417052,0.0
home14678,2018-07-14,461.31170910795873,169925.86073749277,0.0
home13826,2018-01-27,449.48928768075547,164982.4918627149,0.0
home200723,2018-12-10,425.4421011354755,160981.75757605297,0.0
home13719,2017-04-06,434.99764928618504,164420.22339898048,0.0
home200993,2018-01-26,436.83252590840846,165749.4163680197,0.0
home17848,2018-01-17,565.7931057402493,211920.56276668503,0.0
home15040,2018-06-27,467.77326717143853,172659.48696375437,0.0
home12777,2017-01-17,425.01814708437644,160196.58609922047,0.0
home13402,2018-06-16,444.5136748318987,162916.58367832165,0.0
home15792,2017-08-27,468.41482203247756,178628.37798002898,2181.728912543145
home12942,2017-09-05,426.52088842048573,160866.93437918357,0.0
home16204,2018-02-19,492.50870648380175,182748.75254846818,0.0
home18328,2018-10-30,607.3543782057911,228110.6266248905,0.0
home15492,2018-07-02,476.39161100967465,175946.61834516583,0.0
home17530,2017-01-14,529.1377806809419,203510.96871061632,0.0
home11792,2018-02-01,428.88643482813626,156661.47005939778,0.0
home18306,2018-05-29,605.3486579972902,227217.48628459967,0.0
home11461,2017-03-08,413.7593951856222,155564.3096913211,0.0
home18014,2018-01-08,579.033386834647,217181.93179310992,0.0
home10632,2017-07-05,407.3151069973113,152987.92078358866,0.0
home202478,2018-07-18,1707.6486329434913,631106.5502658691,0.0
home15281,2017-07-20,458.1436579612257,174281.7567074226,0.0
home14605,2018-09-05,460.2697232328086,169362.77300764975,0.0
home19963,2018-11-16,2216.4806032631604,892859.2305045623,0.0
home16419,2017-10-03,484.41439261015546,185401.55005031612,0.0
home19714,2017-01-18,1037.6131370130124,417011.72102278675,0.0
home12466,2017-04-04,422.2276795358113,158938.651884545,0.0
home19965,2017-05-09,2195.976736745559,907900.6289421523,0.0
home200202,2018-06-29,408.31083357008305,153577.8955012768,0.0
home18813,2018-10-01,671.0120182541382,255031.37478754716,0.0
home12780,2018-06-21,437.79040478132896,160205.70453680007,0.0
home15766,2017-12-27,467.8256478585789,178445.85947451202,0.0
home18444,2017-10-21,601.3503646351552,234182.0845490222,0.0
home13666,2018-08-19,447.4935977904011,164170.13270181202,0.0
home15879,2017-06-21,469.9877171006741,179523.6559834621,0.0
home10366,2018-11-14,417.3323983366976,152104.5726822869,0.0
home10231,2017-04-14,404.12239373344994,151660.23262055195,0.0
home13719,2018-04-06,448.0475787647706,164420.22339898048,0.0
home13303,2017-12-28,430.4462870448572,162399.06935281292,0.0
home16402,2017-09-15,483.93783178124465,185149.45008011634,0.0
home10508,2018-08-26,418.5245669629165,152585.25179550907,0.0
home14660,2018-05-16,461.0635396672978,169782.4160400506,771.0228886293837
home12099,2017-02-06,418.8290704745042,157648.17278638604,0.0
home13067,2017-07-15,427.87302243271296,161348.80020628258,0.0
home12622,2018-10-01,436.4040497705693,159603.8634199699,0.0
home12951,2018-07-31,439.42604692105516,160925.1166980817,0.0
home10912,2017-03-11,409.47477360270994,153947.42796976617,0.0
home12173,2018-07-18,432.1274069310719,157895.43132932327,0.0
home17744,2017-04-20,542.3092205260903,208881.66062574345,0.0
home13334,2017-08-08,430.8354203423846,162552.47724719413,0.0
home16034,2017-04-22,473.5742711120886,181023.05491914373,0.0
home10860,2017-11-14,409.1382387127664,153737.36353713472,0.0
home202064,2018-01-03,591.2529513152467,222873.6796856249,0.0
home14812,2018-01-28,463.5155371652087,170872.45945496464,0.0
home18511,2018-01-14,628.2722260402492,237536.25767287822,0.0
home14937,2017-05-14,452.384054561257,171816.63733751696,0.0
home17308,2017-07-12,518.9869894345304,198571.05920763328,0.0
home200592,2018-08-11,420.50661594987986,159114.38639716033,0.0
home10544,2017-12-12,406.66783845916586,152722.84881674705,0.0
home201653,2018-04-28,490.9523337231261,187688.85234064318,0.0
home200069,2018-06-18,404.2511395178079,151784.3729273597,0.0
home11200,2017-05-08,411.62941134449335,154772.30054958773,0.0
home10204,2017-07-12,403.8443014223093,151554.46161341364,0.0
